"name","selected","shared name","Treated","uniprot","WT"
"BMX","false","BMX","0.30549291","P51813","0.95441563"
"CRYAB","false","CRYAB","0.23439792","P02511","0.29831466"
"PAK2","false","PAK2","0.27204667","Q13177","0.72582223"
"BCL2","false","BCL2","0.14671569","P10415","0.15366848"
"PRKDC","false","PRKDC","0.89930876","P78527","0.2939838"
"ERBB2","false","ERBB2","1.03705711","P04626","0.82142971"
"MAPKAPK2","false","MAPKAPK2","0.82034109","P49137","0.55935833"
"ABL1","false","ABL1","1.35205392","P00519","0.36167502"
"TP53","false","TP53","0.73667097","P04637","0.4821344"
"NFKBIA","false","NFKBIA","1.33556388","P25963","0.15935655"
